round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,24,24,24,1.7586046655972798,768.0,0.9478356083309336,0.08659589166200021,1.8107141783851768,0.030896764917012372,0.009987186463468621,0.0018704110532129937,24.0,24.0,0.02752185000402581
2,24,24,24,1.8533057786115066,1147.0,0.05836223364754786,0.020778705669173593,1.8102216627764662,0.030896764917012372,0.009987186463468621,0.0018704110532129937,24.0,24.0,0.020564504167850828
3,24,24,24,1.8183679415237861,1124.0,0.01704206307668461,0.022407278466520845,1.8093230502812816,0.030896764917012372,0.009987186463468623,0.0018704110532129937,24.0,24.0,0.06205590000051112
4,24,24,24,1.3429485626185118,804.0,0.055550664432692305,0.022649209456370892,1.8095720418162626,0.030896764917012372,0.009987186463468625,0.001870411053212994,24.0,24.0,0.013063437498203712
5,24,24,24,0.0,133.0,0.0009155864652274246,0.012925999250903698,1.8095720527752155,0.030896764917012376,0.009987186463468621,0.001870411053212994,24.0,24.0,0.012464183336608889
