round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,6,6,6,2.030527909596761,192.0,2.211535383336013,0.15540764999847548,2.057466441976796,0.19674779172774357,0.035401503575286965,0.11079014046616004,6.0,6.0,0.020540499996665556
2,6,6,6,2.020555257797241,192.0,0.006727666666847654,0.02007461667138462,2.057205536548292,0.1967477917277435,0.03540150357528696,0.11079014046616004,6.0,6.0,0.01718125000479631
3,6,6,6,1.9851821263631184,192.0,0.0062470666647035005,0.017431100000976585,2.0563176623187456,0.19674779172774357,0.03540150357528696,0.11079014046616002,6.0,6.0,0.01860923332666668
4,6,6,6,1.976735254128774,192.0,0.006815399998837772,0.01839010000306492,2.0559237095705396,0.19674779172774357,0.03540150357528696,0.11079014046616002,6.0,6.0,0.01774580001074355
5,6,6,6,2.049507121245066,192.0,0.006511133333939749,0.01720490000055482,2.05589924746774,0.1967477917277436,0.035401503575286965,0.11079014046616004,6.0,6.0,0.016279883333481848
6,6,6,6,2.011966288089752,192.0,0.0072059666708810255,0.018342683329440963,2.056103192433796,0.19674779172774357,0.03540150357528696,0.11079014046616004,6.0,6.0,0.01879180000105407
7,6,6,6,2.0413878361384072,192.0,0.0066351500039066496,0.016092316669528373,2.05671730281085,0.19674779172774357,0.035401503575286965,0.11079014046616002,6.0,6.0,0.014487366667405391
8,6,6,6,2.025068978468577,192.0,0.00602749999476752,0.0154745333372072,2.057194494610343,0.19674779172774357,0.03540150357528696,0.11079014046616002,6.0,6.0,0.0204369666656324
9,6,6,6,1.99401851495107,192.0,0.009966766660606178,0.025417800003197044,2.0574759868788557,0.19674779172774357,0.035401503575286965,0.11079014046616002,6.0,6.0,0.023547316663704503
10,6,6,6,2.0155197978019714,192.0,0.010205933334267078,0.026258400005948108,2.0580778037411824,0.1967477917277435,0.035401503575286965,0.11079014046616002,6.0,6.0,0.0237152666716914
11,6,6,6,1.9612342715263367,192.0,0.011265449992303425,0.026775466661395814,2.0584799345907645,0.19674779172774357,0.035401503575286965,0.11079014046616004,6.0,6.0,0.03046645000965024
12,6,6,6,1.9611695607503254,192.0,0.011004933335546715,0.029331316662137397,2.059008272700513,0.19674779172774357,0.035401503575286965,0.11079014046616002,6.0,6.0,0.025374833329503115
