round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,24,24,24,1.772128810485204,768.0,0.8846379166667854,0.07464597500074888,1.7901911111513444,0.0,0.0,0.0,24.0,24.0,0.03679032083164202
2,24,24,24,1.855669726928075,768.0,0.021010454160811303,0.02807867916514321,1.792299523238994,0.0,0.0,0.0,24.0,24.0,0.051008566663464684
3,24,24,24,1.7545535570680313,762.0,0.057301808399098784,0.017425247506401075,1.7937029452213633,0.0,0.0,0.0,24.0,24.0,0.02803308333386667
4,24,24,24,0.7616539929820373,452.0,0.004593485179491159,0.012424930534402807,1.793894075566471,0.0,0.0,0.0,24.0,24.0,0.0116057541660363
5,24,24,24,0.0,37.0,0.0009109432300917704,0.08492162703564768,1.7938940625676831,0.0,0.0,0.0,24.0,24.0,0.01320894999904946
