epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples
1,0.8067045050120214,0.7226668887031777,0.7363642217786077,0.4697176155865815,0.6572900714370278,15529
2,0.6228537732677069,0.7217713264721826,0.7523343421984674,0.5532324778661356,0.6878968774412063,15529
3,0.5821024614124326,0.817900583073636,0.71801146242514,0.4966812391612518,0.6659531605640678,15529
4,0.5570283305933117,0.7762367229794336,0.737136969540859,0.5504953462619078,0.6871083390731276,15529
5,0.5428342921950389,0.6758531717826668,0.7473114817438341,0.5893689597062548,0.6973743095086962,15529
6,0.5274946527351858,0.6302417177245824,0.7674029235623672,0.6032212110087337,0.7129826239206802,15529
7,0.5165758624279988,0.6725610612650043,0.7529782986670102,0.6002608307776574,0.7042059826762066,15529
8,0.5078153845315683,0.7784204378047331,0.7587095112370403,0.5502856810924491,0.6960537403943056,15529
9,0.4975028091794229,0.7261503203248124,0.7664369888595531,0.615330944449519,0.7222291634455495,15529
10,0.49099144098727265,0.9549458869358685,0.6100843582973791,0.5166904258675005,0.5447799582800866,15529
11,0.48340429213567404,0.7117435037429746,0.7605769849958143,0.6227793157244759,0.7368335932673636,15529
12,0.4787855778777157,0.8859880648481734,0.7029428810612403,0.6085732429150325,0.6823407678604494,15529
13,0.47202268078399356,0.8978739586708295,0.6371305299761736,0.6010003284719033,0.5867417884092068,15529
14,0.4676240424159914,0.7051444250635783,0.76759611050293,0.5892398642092578,0.705141831892766,15529
15,0.46363013765221694,0.7923518101125834,0.7863996393843776,0.6520713076445631,0.7305150420973185,15529
16,0.45970095777738607,0.8114180460090429,0.763603580397965,0.5866803659772878,0.7014275562709286,15529
17,0.4552680600245367,1.3352764648533706,0.6055122673707257,0.5093387328880942,0.5377481646667798,15529
18,0.4513622427621158,0.637805163105117,0.7904565651361968,0.6674924828301836,0.7448822343580301,15529
19,0.447622144863999,0.7739586469809977,0.7787365574087192,0.6178384944753006,0.7198035763758184,15529
20,0.44489079834966105,1.8674897624575273,0.6813059437182046,0.5096941653464434,0.652854204928446,15529
21,0.44263959719319246,1.3348607260648022,0.6080236975980424,0.479544742073212,0.5414815469309058,15529
22,0.4379415240509843,0.8372944392723792,0.7799600746989503,0.6365790852611788,0.7225536251990125,15529
23,0.43638491624733433,0.7439047124917824,0.6696503316375813,0.6408432042363977,0.6536237295730609,15529
24,0.4320383747362939,0.8428735481033031,0.75342906819499,0.5739414000271729,0.703327929299423,15529
25,0.4313272210856667,1.019005362284301,0.7668233627406787,0.631337364586597,0.7186521613184005,15529
26,0.42899650636536535,0.7290983680858188,0.7596754459398545,0.6107771892695828,0.7147575183985636,15529
27,0.42763926691986853,0.6561174507338146,0.7811835919891815,0.6431344620913116,0.7340134682222642,15529
28,0.423423135507619,0.6199221839772668,0.7930323910103677,0.6689367072757552,0.751758206861922,15529
29,0.4221714540180983,0.7741539750162597,0.7651490759224676,0.6324407308084629,0.7166921707339213,15529
30,0.419740894343704,1.115391648878156,0.6262476656578015,0.5581367223391135,0.5794638387625731,15529
31,0.41773836647189455,1.0377447527949737,0.7761607315345482,0.6067390106356195,0.7168406361899973,15529
32,0.41729494844184956,1.5618341444459691,0.5307489213729152,0.45498048104230726,0.5161411231069621,15529
33,0.4148299741536903,1.0079486135283007,0.7414514778800954,0.6274065313373307,0.7157553522695973,15529
34,0.4127013590041315,1.1890593099722448,0.6402215210251787,0.608493685789815,0.5902844938679537,15529
35,0.41211952727098833,0.7079770432577385,0.7876231566746088,0.6490886993742037,0.7310144087517083,15529
36,0.4094241837228765,1.9521630156421799,0.6306909652907463,0.585771344763803,0.5696986458332144,15529
37,0.40927822834419203,0.9803264423610663,0.7617361066391912,0.626825810016127,0.7195353421706575,15529
38,0.40561102918945835,0.7767634217808325,0.7621224805203168,0.6026333438494444,0.7154112140549806,15529
39,0.4054178068508918,1.6048672320455921,0.5491660763732372,0.49611943184081014,0.5176686100870959,15529
40,0.4053683120473579,1.3488933480552647,0.6172322750982033,0.5719668149094507,0.5710130495834546,15529
41,0.4013678716364666,1.2919035350683774,0.7730053448386889,0.600893712770661,0.7125347809508222,15529
42,0.3998432358421269,1.8123568221400328,0.5594693798699208,0.5341614641859336,0.4446253980996581,15529
43,0.4000711522057827,1.5345384790853651,0.6294030523536609,0.5553703040392267,0.5706441912049225,15529
44,0.3995016306907928,1.3162296610583526,0.7870435958529204,0.6611831177522993,0.7368961771387533,15529
45,0.39711881193943555,0.8616489565618066,0.7815699658703071,0.6427747551094855,0.7259182073565179,15529
46,0.3981119628842862,0.8804026640047412,0.7868504089123576,0.6620499484708019,0.7342267851864287,15529
47,0.395684865063231,1.4274376341861783,0.6061562238392685,0.5449016787731563,0.5528429852227502,15529
48,0.3950465927373443,1.424121983893423,0.7444780732822461,0.5917800790432195,0.698496460988193,15529
