epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples
1,1.0537039420180583,0.6897700139160814,0.7410658307210032,0.4111061932065631,0.6488172915452359,3190
2,0.6517092751923393,0.5834140035052284,0.7498432601880878,0.4294073017857554,0.6614259453160074,3190
3,0.5738405234729863,0.5651379025374834,0.74858934169279,0.43596765542402877,0.6661724331410104,3190
4,0.5086344845508453,0.48317158764058893,0.8153605015673981,0.6068870992626499,0.7888815821108164,3190
5,0.4708850377811988,0.4664039040247101,0.8231974921630094,0.620711976224396,0.7977929899844135,3190
6,0.44425575007513013,0.4725498499553125,0.8065830721003134,0.5812327475451811,0.7701872364954954,3190
7,0.42575036448344344,0.5068777019444117,0.7987460815047022,0.5630565042078174,0.7588380789720132,3190
8,0.4141472745079825,0.441044287592593,0.829153605015674,0.6262545308966189,0.8058391976421471,3190
9,0.39780461887446633,0.43735823508433785,0.8326018808777429,0.6292385047253172,0.8109117875315225,3190
10,0.3852485262126663,0.426019757984317,0.8432601880877743,0.6781663782779331,0.8280400386295091,3190
11,0.37860278424239135,0.422076840337868,0.8363636363636363,0.6416541817500148,0.8195045575334474,3190
12,0.37014030230497064,0.4218832455061633,0.8366771159874609,0.6413612182069788,0.8160675303243038,3190
13,0.3681670868470611,0.4401217165160749,0.8326018808777429,0.643366012823742,0.8188736443500608,3190
14,0.3607985709359788,0.5338737909007689,0.79717868338558,0.5631340926555134,0.7554136215877044,3190
15,0.3538825018511993,0.46817095521020013,0.8169278996865204,0.6029121633167028,0.7990077343521986,3190
16,0.3505080966105819,0.45378089236507196,0.829153605015674,0.6233504098572652,0.8023471954438732,3190
17,0.3405669582480925,0.41179028205342916,0.8482758620689655,0.6926597880253974,0.837533195207499,3190
18,0.3419768318422399,0.4718050716079912,0.8266457680250784,0.6267008299638249,0.8145915475172723,3190
19,0.3287275389804375,0.5188327238855586,0.8200626959247649,0.6551109138844512,0.7955788457387055,3190
20,0.32456861999491615,0.4607656221660905,0.8260188087774295,0.6168809239102007,0.7974627942791268,3190
21,0.326295023356183,0.4377896761148,0.8332288401253919,0.627402411925251,0.8075332147227114,3190
22,0.3232764300159461,0.5817877253168262,0.8043887147335423,0.5852842136353192,0.766418847148028,3190
23,0.32322751494077023,0.43825647461674755,0.8357366771159874,0.6441760439409513,0.8219363856595542,3190
24,0.3116833548724618,0.43529676956527497,0.8363636363636363,0.6443657102951644,0.8237029135607554,3190
25,0.3077850402844999,0.44954559971022984,0.8507836990595611,0.7402779324039401,0.8399939383638703,3190
26,0.30666528763986095,0.4468877717470137,0.8398119122257053,0.6903809314649895,0.8331971786409393,3190
27,0.3054630755802701,0.5485950235701108,0.7815047021943574,0.5230560886089957,0.7594533886812381,3190
28,0.30067546894299224,0.44752024868908297,0.8401253918495298,0.6929497894715534,0.8243036666773883,3190
29,0.29318939848699654,0.49768529523041416,0.8134796238244514,0.600807739264043,0.799464286763909,3190
30,0.2925947113934464,0.4306514315907829,0.8539184952978056,0.7315208903878787,0.8498352300409303,3190
31,0.28854869112464715,0.44686854669049114,0.8304075235109718,0.6215295383275434,0.8034375276617162,3190
32,0.28137071534867775,0.4467597833219302,0.8341692789968652,0.6369981125814975,0.8164241141693426,3190
33,0.2903469616857593,0.42713406948944943,0.8448275862068966,0.65175344201583,0.8290011343592034,3190
34,0.2869670012205544,0.4698053202621579,0.8257053291536051,0.6101287666768308,0.7952781935788289,3190
35,0.2783637634944658,0.45518753668030604,0.8398119122257053,0.651172269014223,0.8259121655055335,3190
36,0.27081189455352234,0.45084635887545355,0.8307210031347962,0.6247171285774239,0.8066207923950423,3190
37,0.28114181652908515,0.42893525656374015,0.841692789968652,0.6473125675004215,0.8214865422151446,3190
38,0.2718863547254725,0.4332495901403733,0.8442006269592477,0.6522853354554453,0.8291239035794297,3190
39,0.2696364831764745,0.41577283553552863,0.845141065830721,0.6680840940235561,0.832352665071712,3190
40,0.2665992299197752,0.43230361761452285,0.8307210031347962,0.6210615571623276,0.8082574962065616,3190
41,0.26317032855982675,0.4301700578950313,0.841692789968652,0.6435876163829611,0.8210453232526185,3190
42,0.26672267278160167,0.47309115636760957,0.8322884012539185,0.6517658947724597,0.8221015702393951,3190
43,0.2657218648994311,0.47391443122039184,0.8282131661442006,0.622233877701696,0.8030053057591884,3190
44,0.2541859570226173,0.4645053095094492,0.8338557993730408,0.6458592504983431,0.8231520040509258,3190
45,0.25750260995124735,0.5838092419872831,0.8003134796238245,0.5670645982022162,0.7577375500109225,3190
