epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples
1,2.404041791799549,2.337547997103478,0.2988466173179549,0.07833799065953131,0.16202231177153187,5809
2,2.015982033254479,2.0143422752100624,0.3026338440351179,0.07890064326444854,0.16452938067841505,5809
3,1.751966436667275,1.9263141128564993,0.30917541745567223,0.08112315878754589,0.16775789115659845,5809
4,1.655061620661159,1.8264987371037227,0.31227405749698744,0.0888515791284554,0.17758744266720367,5809
5,1.6051936472409754,1.7963625610254372,0.3112411774832157,0.09937626579487527,0.18019466294720146,5809
6,1.5818902096554444,1.7756452298981122,0.352728524703047,0.13132567153192912,0.2386560497570926,5809
7,1.565844246948933,1.7592603075953723,0.34894129798588397,0.13225629441859643,0.23475847155207077,5809
8,1.5507841156502968,1.7473034098587916,0.34653124462041657,0.1346512013593875,0.23910943420812122,5809
9,1.53992142915285,1.7367689866456544,0.35840936477879154,0.14211508450102622,0.25036350913243016,5809
10,1.5310924775939772,1.731303911525958,0.3752797383370632,0.15051820813941988,0.2727573619715055,5809
11,1.5266868008262788,1.7256442429707863,0.352556378034085,0.1400957421472585,0.24922760312586842,5809
12,1.5253014677994352,1.7206860790771468,0.35754863143398175,0.14862957119852277,0.25644346042185506,5809
13,1.513000955643363,1.7181005716364897,0.3628851781718024,0.14802476288650238,0.26238091603805364,5809
14,1.5153523231830703,1.7151964482392639,0.3616801514890687,0.1460728836315031,0.2609100246677797,5809
15,1.5032181993209501,1.7110228470792292,0.36942675159235666,0.1539072702381012,0.2714475750544894,5809
16,1.5018948637183185,1.73526863018357,0.34980203133069376,0.13798022973425567,0.2445427322812939,5809
17,1.498598080686192,1.7391441480738712,0.3418832845584438,0.13457333059773163,0.23884480963064922,5809
18,1.4929389701312659,1.7303014562921692,0.3430883112411775,0.13589466330653927,0.23791176717458304,5809
19,1.4927181191673562,1.6957877527356127,0.36219659149595457,0.1653415983300145,0.27282292702866096,5809
20,1.4839050150622721,1.7666173729065016,0.3522120846961611,0.143253931116407,0.24591404797837385,5809
21,1.4710959062228142,1.6671770924564728,0.38113272508176965,0.18584659590907082,0.29441938117153227,5809
22,1.4778451856755945,1.6653306060248592,0.40247891203305214,0.20779643826172806,0.3245165526925963,5809
23,1.470969451222975,1.7018407717652402,0.37424685832329146,0.16826750473483737,0.2813626297105038,5809
24,1.4719895380041295,1.6265352498358387,0.4038560853847478,0.21644850990540254,0.325671486171524,5809
25,1.4712125439740813,1.638361505272672,0.3998967119986228,0.21408792723239234,0.31904285058618786,5809
26,1.45933296554851,1.6421973975764883,0.3988638319848511,0.2116352057924526,0.3208182603847631,5809
27,1.464259658194734,1.6542139905396664,0.3871578584954381,0.20448858829861993,0.3057493993544697,5809
28,1.4560179968748428,1.6627671698896789,0.387502151833362,0.20591216653609568,0.30804192990530077,5809
29,1.4605056752559218,1.6369277498442574,0.3904286452057153,0.20698471791588077,0.31496359660512324,5809
30,1.4463041777311103,1.6133935249165754,0.40626613875021517,0.21794621844385764,0.3287409407739962,5809
31,1.4506440798918994,1.7406197074030534,0.30366672404888967,0.17697197790407954,0.21499114266805028,5809
32,1.44773451094266,1.6267897679691246,0.3988638319848511,0.21501887134033273,0.3204361123686479,5809
33,1.4470459230505825,1.6919650864449276,0.37011533826820453,0.19839807655214295,0.2864218671640931,5809
34,1.4430678209183176,1.628581282808892,0.3885350318471338,0.21192820427898765,0.3137263766732896,5809
35,1.4396248530327944,1.6442562486776942,0.38113272508176965,0.20625991982093958,0.3060810012241602,5809
36,1.442993280517416,1.6219595558857995,0.4017903253572043,0.2212932777963856,0.32081968099792535,5809
37,1.4349749889259198,1.6279837416584673,0.4012738853503185,0.23224931440525215,0.33637954798729514,5809
38,1.4282652235515898,1.6182776962259917,0.4100533654673782,0.23743410140228605,0.3452909861423824,5809
39,1.4327884632646486,1.6286561726743987,0.3864692718195903,0.2141065033812445,0.3147014462957855,5809
40,1.4269968726278013,1.6126300280589536,0.4078154587708728,0.2356015084618973,0.33839321874782324,5809
41,1.4230918363149858,1.6163168294558243,0.3981752453090033,0.22823730621518376,0.3301310030345518,5809
42,1.4206746218385184,1.620560287054321,0.37338612497848167,0.23099042675339876,0.3272172178591075,5809
43,1.4249997521284108,1.5858976810601106,0.4117748321569978,0.23941314445489692,0.3462162874737139,5809
44,1.4171156975786698,1.567634704294006,0.41693923222585644,0.237401486589132,0.34444525293793954,5809
45,1.4190780601417732,1.651628524347188,0.3871578584954381,0.22727859997664662,0.3213458270938681,5809
46,1.4179868335644552,1.6076782801656515,0.39542089860561197,0.2380562881605775,0.3399302249245728,5809
47,1.4153754056711956,1.6011275595407064,0.39542089860561197,0.22264412380713947,0.324830014094102,5809
48,1.4171816884589945,1.614313654941461,0.3902564985367533,0.22383122734364386,0.3226954909368056,5809
