epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples
1,0.8577355974733781,0.7870796129990518,0.716209053323439,0.4037168026540855,0.6397761122832712,9433
2,0.6209377458399133,0.7221782111969458,0.7455740485529524,0.46809816256297704,0.6689283749542105,9433
3,0.5804676855978498,0.763585650300368,0.7252199724371886,0.5724552981182902,0.7081606298194761,9433
4,0.5529003364833892,0.6452864011498652,0.7661401462949221,0.5532741046281588,0.6994909113889147,9433
5,0.5323886385025866,0.7146754478158023,0.7589314110039224,0.5292808521731152,0.6928901582474802,9433
6,0.5147914499745365,0.6219242473636334,0.7867062440368917,0.6414683085289192,0.7292357846084213,9433
7,0.4995234113757628,0.5913785232000881,0.7807696385031273,0.6122267515822384,0.7226028556790067,9433
8,0.4909053699015991,0.6189779700243339,0.7705926004452455,0.5834245734451423,0.7120153676553319,9433
9,0.4810886630805063,0.7682343023221382,0.7691084490618043,0.591525987526265,0.7098429108180724,9433
10,0.46975686809007267,0.6516286011339045,0.7718647302024807,0.5762776181212357,0.7054130333759874,9433
11,0.4657120082741913,0.6159580667791081,0.791264709000318,0.6571920193469518,0.74702525756824,9433
12,0.45864982472767407,1.2290124372289675,0.6269479486907664,0.5276523535733239,0.5578078816116966,9433
13,0.45321691625986466,0.5639283939743686,0.794551044206509,0.6482243747267034,0.7355290542755349,9433
14,0.44627469558108657,0.6703253516525104,0.7633838651542457,0.6280401561992062,0.7359678529728342,9433
15,0.4400868569859526,0.6894597939111244,0.7872362981024065,0.6803785610971721,0.7580203306932892,9433
16,0.4364047695105383,1.0300420176295897,0.7625357786494222,0.6001356877010253,0.7079398949117661,9433
17,0.4291930155585379,6.380369124135289,0.52093713558783,0.38133912286381383,0.3941734833087043,9433
18,0.4279591581827243,1.0123551643058777,0.7711226545107601,0.611035267249984,0.7293137376886052,9433
19,0.42494983208537196,2.1691338249398164,0.5303720979539913,0.42541949778526666,0.40381192394270665,9433
20,0.4210728684807346,1.1463712021902013,0.5864518180854447,0.4981023815088542,0.5405608890521028,9433
21,0.41821835990708145,0.8945437250971945,0.7738789356514364,0.6425416983902432,0.7224070610781806,9433
22,0.4160576033959617,1.5105941929174544,0.5313261952719177,0.4789725669091256,0.4092977254468434,9433
23,0.41180904565525556,0.7275783773880012,0.7627478002756282,0.6402976754381844,0.736832975752584,9433
24,0.4086853152583599,0.7492368423941606,0.7751510654086717,0.6737522790114323,0.715316961637881,9433
25,0.4084986163437705,1.0376830656973055,0.637655040814163,0.6133085006972644,0.5786820090225143,9433
26,0.406314248519754,0.9491836169915576,0.6435916463479275,0.5658164596077108,0.6128363710748934,9433
27,0.4035020526151104,0.6490702169875436,0.7890384819251564,0.6207904820528688,0.7325567605571853,9433
28,0.4011006641465285,2.6155509953421414,0.5239054383547121,0.47561768998040155,0.453987435316217,9433
29,0.4011421753796058,1.0528462992205319,0.6416834517120746,0.624864264354944,0.5938679771078073,9433
30,0.3977552742152705,0.5763153978340958,0.7924308279444503,0.6707166108112577,0.7504025255986476,9433
31,0.3968793118655053,0.6887231645981516,0.7943390225803032,0.6593283100022271,0.7377889582610182,9433
32,0.3972304982872678,0.9567524088208013,0.7570232163680696,0.542289651223023,0.6924710687500528,9433
33,0.39475901366271143,0.6379940210985814,0.7897805576168769,0.6776629537758542,0.7487095743432599,9433
34,0.3907237435779432,0.873220535021155,0.7914767306265239,0.6613344041747542,0.7349241808214427,9433
35,0.39012775214242434,0.6989648541548307,0.7816177250079508,0.6182496207597146,0.7237904046806479,9433
